State,$,(,),:,;,=,ad,an,cm,do,dv,el,eq,if,lg,ls,md,ml,ng,nk,nm,np,nt,nu,or,pr,rt,sb,sr,th,un,vd,wh,{,}
0,,,r3,r3,,,,,,,,,,,,,,,,,s4,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,s5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,s6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,r3,r3,,,,,,,,,,,,,,,,,s4,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,r5,,,,,,,,,,,,,,,,s11,,,,,,,,,,,,s10,,,
7,,,r4,r4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,s12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,r5,,,,,,,,,,,,,,,,s11,,,,,,,,,,,,s10,,,
10,,,,,,,,,,,,,,,,,,,,,s14,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,s15,,,,,,,,,,,,,,
12,r9,,,,,,,,s20,s28,,,,s26,,,,,,,s25,s19,,,,s18,r9,,,,s30,,s29,,r9
13,,,,r6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,s31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,s32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,r2,,,,,,,,,,,,,,,,,,,,,,,,,,r2,,,,,,,,
17,,,,,s33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,s35,,,,,,,,,,,,,,,,,,,,,,,,,,,s36,,,,,,
19,,,,,r14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s37,,,,,,
21,,,,,r16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,r17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,r18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,,,,r19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,s39,,,,s38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,,,,,,,s42,,,,,s44,,s45,s46,,,,,,,s41,,s43,,,,,,,,,,
27,,,,,,,,s42,,,,,s44,,s45,s46,,,,,,,s41,,s43,,,,,,,,,,
28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s48,
29,,,,,,,,r42,,,,,r42,,r42,r42,,,,,,,r42,,r42,,,,,,,,,,
30,,,,,,,,r43,,,,,r43,,r43,r43,,,,,,,r43,,r43,,,,,,,,,,
31,,,r3,r3,,,,,,,,,,,,,,,,,s4,,,,,,,,,,,,,,
32,,,r3,r3,,,,,,,,,,,,,,,,,s4,,,,,,,,,,,,,,
33,r9,,,,,,,,s20,s28,,,,s26,,,,,,,s25,s19,,,,s18,r9,,,,s30,,s29,,r9
34,,,,,r13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
36,,,,,r12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,,,,,r15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,,,,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
39,,,r21,,,,s57,,,,s60,,,,,,s56,s59,s61,,s53,,,s54,,,,s58,,,,,,,
40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,s65,,,,,
41,,s66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,s67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,,s68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
