State,ALGO,ASSIGN,BOOL,BRANCH,CALL,COND,F_DECL,F_TYPE,INPUT,INSTR,LOOP,OUTP,P,SPL_PROG,TERM,V_DECL
0,,,,,,,,,,,,,2,1,,3
1,,,,,,,,,,,,,,,,
2,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,7
5,,,,,,,,,,,,,,,,
6,,,,,,,8,9,,,,,,,,
7,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,
9,,,,,,,13,9,,,,,,,,
10,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,
12,16,21,,22,24,27,,,,17,23,,,,,
13,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,34,,,,
19,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,
21,,,,,,,,,,,,,,,,
22,,,,,,,,,,,,,,,,
23,,,,,,,,,,,,,,,,
24,,,,,,,,,,,,,,,,
25,,,,,,,,,,,,,,,,
26,,,40,,,,,,,,,,,,,
27,,,47,,,,,,,,,,,,,
28,,,,,,,,,,,,,,,,
29,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,49
32,,,,,,,,,,,,,,,,50
33,51,21,,22,24,27,,,,17,23,,,,,
34,,,,,,,,,,,,,,,,
35,,,,,55,,,,,,,,,,52,
36,,,,,,,,,,,,,,,,
37,,,,,,,,,,,,,,,,
38,,,,,55,,,,,,,,,,62,
39,,,,,55,,,,63,,,,,,64,
40,,,,,,,,,,,,,,,,
41,,,,,,,,,,,,,,,,
42,,,,,,,,,,,,,,,,
43,,,,,,,,,,,,,,,,
44,,,,,,,,,,,,,,,,
45,,,,,,,,,,,,,,,,
46,,,,,,,,,,,,,,,,
47,,,,,,,,,,,,,,,,
48,73,21,,22,24,27,,,,17,23,,,,,
49,,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,,
59,,,,,,,,,,,,,,,,
60,,,,,,,,,,,,,,,,
61,,,,,,,,,,,,,,,,
62,,,,,,,,,,,,,,,,
63,,,,,,,,,,,,,,,,
64,,,,,55,,,,84,,,,,,64,
65,,,,,,,,,,,,,,,,
66,,,86,,,,,,,,,,,,,
67,,,87,,,,,,,,,,,,,
68,,,88,,,,,,,,,,,,,
69,,,,,55,,,,,,,,,,89,
70,,,,,55,,,,,,,,,,90,
71,,,,,55,,,,,,,,,,91,
72,,,,,,,,,,,,,,,,
73,,,,,,,,,,,,,,,,
74,,,,,,,,,,,,,,,,
75,,,,,,,,,,,,,,,,
76,,,,,,,,,,,,,,,,
77,,,,,55,,,,,,,,,,96,
78,,,,,55,,,,,,,,,,97,
79,,,,,55,,,,,,,,,,98,
80,,,,,55,,,,,,,,,,99,
81,,,,,55,,,,,,,,,,100,
82,,,,,55,,,,,,,,,,101,
83,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,
85,102,21,,22,24,27,,,,17,23,,,,,
86,,,,,,,,,,,,,,,,
87,,,104,,,,,,,,,,,,,
88,,,105,,,,,,,,,,,,,
89,,,,,55,,,,,,,,,,106,
90,,,,,55,,,,,,,,,,107,
91,,,,,55,,,,,,,,,,108,
92,109,21,,22,24,27,,,,17,23,,,,,
93,,,,,,110,,,,,,,,,,
94,,,,,,,,,,,,,111,,,3
95,,,,,,,,,,,,,112,,,3
96,,,,,55,,,,,,,,,,113,
97,,,,,55,,,,,,,,,,114,
98,,,,,55,,,,,,,,,,115,
99,,,,,55,,,,,,,,,,116,
100,,,,,55,,,,,,,,,,117,
101,,,,,,,,,,,,,,,,
102,,,,,,,,,,,,,,,,
103,,,,,,,,,,,,,,,,
104,,,,,,,,,,,,,,,,
105,,,,,,,,,,,,,,,,
106,,,,,,,,,,,,,,,,
107,,,,,,,,,,,,,,,,
108,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,
110,,,126,,,,,,,,,,,,,
111,,,,,,,,,,,,,,,,
112,,,,,,,,,,,,,,,,
113,,,,,,,,,,,,,,,,
114,,,,,,,,,,,,,,,,
115,,,,,,,,,,,,,,,,
116,,,,,,,,,,,,,,,,
117,,,,,,,,,,,,,,,,
118,,,,,,,,,,,,,,,,
119,,,,,,,,,,,,,,,,
120,,,,,,,,,,,,,,,,
121,,,,,,,,,,,,,,,,
122,,,,,,,,,,,,,,,,
123,,,,,,,,,,,,,,,,
124,,,,,,,,,,,,,,,,
125,,,,,,,,,,,,,,,,
126,,,,,,,,,,,,,,,,
127,,,,,,,,,,,,,,,,
128,,,,,,,,,,,,,,,,
129,,,,,,,,,,,,,,,,
130,,,,,,,,,,,,,,,,
131,,,,,,,,,,,,,,,,
132,,,,,,,,,,,,,,,,
133,,,,,,,,,,,,,,,,
134,,,,,,,,,,,,,,,,
135,,,,,,,,,,,,,,,,
136,,,,,55,,,,,,,,,,138,
137,139,21,,22,24,27,,,,17,23,,,,,
138,,,,,,,,,,,,,,,,
139,,,,,,,,,,,,,,,,
140,,,,,,,,,,,,,,,,
141,,,,,,,,,,,,,,,,
142,,,,,,,,,,,,,,,,
